"id","post_id","user_id","comment_id","reaction","is_active","created_date","updated_date"
49,52,1,397,1,1,"2023-11-14 00:00:00","2023-11-14 21:15:06.588269"
9,52,1,188,0,1,"2023-11-12 00:00:00","2023-11-12 20:57:25.517349"
10,52,1,189,1,1,"2023-11-12 00:00:00","2023-11-12 20:57:57.254971"
3,42,1,1,0,1,"2023-11-07 00:00:00","2023-11-07 21:36:56.527424"
11,52,1,190,1,1,"2023-11-12 00:00:00","2023-11-12 21:02:57.185889"
7,47,3,183,1,0,"2023-11-09 00:00:00","2023-11-09 11:38:16.998344"
50,52,1,398,0,1,"2023-11-14 00:00:00","2023-11-14 21:15:11.48212"
51,52,2,397,1,1,"2023-11-14 00:00:00","2023-11-14 21:16:17.921026"
12,52,1,191,1,0,"2023-11-12 00:00:00","2023-11-12 21:10:35.488653"
13,52,1,192,1,1,"2023-11-12 00:00:00","2023-11-12 21:10:45.203841"
52,52,2,398,1,1,"2023-11-14 00:00:00","2023-11-14 21:16:21.74323"
80,96,6,592,1,0,"2023-11-26 00:00:00","2023-11-26 22:11:18.868623"
5,47,1,185,0,1,"2023-11-11 00:00:00","2023-11-11 16:52:29.703378"
54,52,1,411,0,1,"2023-11-15 00:00:00","2023-11-15 23:51:33.714364"
6,47,1,184,1,1,"2023-11-11 00:00:00","2023-11-11 19:59:40.190017"
4,47,1,183,1,1,"2023-11-11 00:00:00","2023-11-11 19:59:43.770353"
53,52,1,410,1,1,"2023-11-16 00:00:00","2023-11-16 01:32:11.760397"
97,114,16,679,0,1,"2024-01-09 00:00:00","2024-01-09 07:35:28.542988"
98,114,16,680,1,1,"2024-01-09 00:00:00","2024-01-09 07:35:29.528585"
55,91,1,417,1,1,"2023-11-21 00:00:00","2023-11-21 06:23:42.05857"
99,111,16,686,1,1,"2024-01-09 00:00:00","2024-01-09 21:34:44.263071"
63,94,1,566,1,1,"2023-11-25 00:00:00","2023-11-25 23:59:38.05123"
64,94,1,567,0,1,"2023-11-25 00:00:00","2023-11-25 23:59:38.743373"
86,113,16,629,1,1,"2023-12-19 00:00:00","2023-12-19 23:35:12.811274"
85,113,16,628,0,1,"2023-12-19 00:00:00","2023-12-19 23:35:14.4202"
14,52,1,193,1,1,"2023-11-12 00:00:00","2023-11-12 21:26:29.515954"
15,52,1,194,0,1,"2023-11-12 00:00:00","2023-11-12 22:34:37.251933"
84,113,16,627,1,1,"2023-12-19 00:00:00","2023-12-19 23:35:15.943019"
16,52,1,195,0,1,"2023-11-12 00:00:00","2023-11-12 22:35:58.040707"
18,52,3,195,1,0,"2023-11-12 00:00:00","2023-11-12 22:36:43.216068"
17,52,3,194,1,0,"2023-11-12 00:00:00","2023-11-12 22:36:45.847677"
19,52,1,196,1,1,"2023-11-12 00:00:00","2023-11-12 22:38:36.116207"
20,52,1,197,1,1,"2023-11-12 00:00:00","2023-11-12 22:45:01.189053"
